PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40066659,Inhibition of HDAC4 in granulosa cells improved co-cultured oocyte maturation in vitro independent of LH in porcine.,2025 Mar 11,Zuo Z; Bao Y; Lin L; Li H; Wang T; Xia G; Wang C,,
40066656,Socioeconomic Disparities in Prostate Cancer Treatment: The Impact of Area Deprivation Index on Initial Treatment Type for Localized PCa in a North-American Cohort.,2025 Mar 11,Viganò S; Finati M; Stephens A; Bertini A; Finocchiaro A; Lughezzani G; Buffi N; Salonia A; Briganti A; Montorsi F; Rossanese M; Di Trapani E; Ficarra V; Sood A; Rogers C; Abdollah F,,
40066655,The role of surgical resection of the primary tumor in metastatic upper tract urothelial carcinoma: a systematic review and meta-analysis.,2025 Mar 11,Kardoust Parizi M; Singla N; Rouprêt M; Margulis V; Matsukawa A; Tsuboi I; Schulz R; Karakiewicz PI; Teoh JY; Soria F; Shariat SF,,
40066650,"Chronotype, sleep timing, sleep regularity, and cancer risk: A systematic review.",2025 Mar 11,Donzella SM; Bryer BN; VoPham T; Weaver MD; Watson NF; Zhong C; Patel AV; Phipps AI,,
40066574,Influence of handgrip strength on postoperative complications and survival in primary liver cancer patients.,2025 Mar 4,Li C; Chen Y; Wu H; Zeng Y; Li Y; Dong J; Wang Y; Song T,,
40066501,FLOT1 Is a Novel Serum Biomarker of Ovarian Cancer Targeted by N6-methyladenosine Modification Inhibition.,2025 Mar 11,Guan B; Lu Q; Chen J; Fang J; Liu Z; Li W; Zhang L; Xu G,,
40066500,Who cares about the dying? - Unpacking integration of palliative care and oncology in the Danish context.,2025 Mar 11,Hauge AM; Boisen Andersen D,,
40066468,Impact of prostate cancer screening in European ancestry un-affected men with germline DNA repair pathogenic variants.,2025 Mar,Fasulo V; Chiarelli G; Garofano G; Ripamonti CB; Barile M; Bianchi P; Morenghi E; Benetti A; Aljoulani M; Finocchiaro A; Paciotti M; Avolio PP; Beatrici E; Arena P; Saita A; Hurle R; Maura F; Da Rin G; Asselta R; Capalbo A; Soldà G; Casale P; Buffi NM; Lughezzani G; Lazzeri M,,
40066458,Survival benefits of postoperative radiotherapy in esophageal cancer during the immunotherapy era:a retrospective cohort study based on the SEER database and a single-center registry in China.,2025,Zhang Q; Zhang T; Gu J; Zhang X; Mao Y; Zhu Y; Zhang J; Wang J; Chen S; Cao Y; Wang M; Wang C,,
40066453,Bioinformatics analysis reveals novel tumor antigens and immune subtypes of skin cutaneous melanoma contributing to mRNA vaccine development.,2025,Yang R; He J; Kang D; Chen Y; Huang J; Li J; Wang X; Zhou S,,
40066447,Case Report: Complete response to four cycles of camrelizumab in a PD-L1 negative patient with advanced oral squamous cancer.,2025,He J; Yu G; Ma Y; Shi X; Gao Y; Zheng H; Zhu M; Zhang C,,
40066446,Exercise boost after surgery improves survival in model of metastatic breast cancer.,2025,Stagaard R; Jensen A; Schauer T; Bay ML; Tavanez AR; Wielsøe S; Peletier M; Strøbech JE; Oria VO; Zornhagen KW; Albrechtsen R; Christensen JF; Erler JT,,
40066443,Unveiling SSR4: a promising biomarker in esophageal squamous cell carcinoma.,2025,Zhang J; Jia F; Li C; Song S; Gong A,,
40066442,A comprehensive prognostic and immunological implications of Gremlin 1 in lung adenocarcinoma.,2025,Li H; Zhou Y; Xiao J; Liu F,,
40066440,In-depth analysis of the safety of CAR-T cell therapy for solid tumors.,2025,Dong J; Wu J; Jin Y; Zheng Z; Su T; Shao L; Bei J; Chen S,,
40066439,Tissue-resident memory T cells in urinary tract diseases.,2025,Xu G; Li Y; Lu G; Xie D,,
40066437,Treatment at the end of life in patients with advanced melanoma. A multicenter DeCOG study of 1067 patients from the prospective skin cancer registry ADOReg.,2025,Forschner A; Kähler KC; Gschnell M; Langan EA; Weishaupt C; Meiss F; Thoms KM; Wahl RU; Göppner D; Garzarolli M; Sachse M; Schlaak M; Reitmajer M; Kellner I; Gesierich A; Mohr P; Meier F; von Wasielewski I; Herbst R; Utikal J; Pföhler C; Ulrich J; Terheyden P; Kaatz M; Haferkamp S; Leiter U; Ugurel S; Weichenthal M; Berking C; Gutzmer R; Schadendorf D; Nanz L; Loquai C,,
40066409,Expression of Proliferating Cell Nuclear Antigen (PCNA) in Nasal Polyp: A Systematic Review and Meta-analysis.,2025 Jan,Soltanipur M; Rohani Bastami M; Shahshenas S; Ghorbanniadelavar Z; Barouh A; Shadmand A; Karimi Nemch M; Yarmohammadi H; Siadat SD; Jalali Nadoushan M,,
40066404,"Do The Inflammatory Cells In The Blood And Tissues Have Predictive And Prognostic Value In Benign, Premalignant And Malignant Lesions Of The Larynx?",2025 Jan,Gökgün ÖF; Gencay S; Durgut O; Solmaz F; Mutlu N,,
40066398,Laryngeal Neuroendocrine Carcinoma.,2025 Jan,Das D; Sharma V; Mishra N; Sharma N; Mulajker DS; Kumar H,,
40066397,Angioinvasive Mucormycosis and Internal Carotid Artery Thrombosis: A Case Series.,2025 Jan,Surbhi; Anand A; Kumar B; Sinha V,,
40066360,Selenium-modified hydroxyapatite titanium coating: enhancing osteogenesis and inhibiting cancer in bone invasion by head and neck squamous cell carcinoma.,2025,Wen X; Zhou Q; Lin S; Mai H; Zhang L,,
